Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Time Series Analysis of Soil Radon Data Using Multiple Linear Regression and Artificial Neural Network in Seismic Precursory Studies","Pure and Applied Geophysics","","174","7","10.1007/s00024-017-1556-4","S. SinghH. P. JaishiR. P. TiwariR. C. Tiwari","2017","http://link.springer.com/article/10.1007/s00024-017-1556-4","Article"
"Evaluating the Patient Boarding during Omicron Surge in Hong Kong: Time Series Analysis","Journal of Medical Systems","","47","1","10.1007/s10916-023-01964-x","Qihao WuSunny Ching-long ChanTeddy Tai-loy LeeKevin Wang-leong SoOmar Wai-kiu TsuiYong-Hong KuoTimothy Hudson RainerAbraham Ka-chung Wai","2023","http://link.springer.com/article/10.1007/s10916-023-01964-x","Article"
"Day-to-day regularity and diurnal switching of physical activity reduce depression-related behaviors: a time-series analysis of wearable device data","BMC Public Health","","23","1","10.1186/s12889-023-14984-6","Satoshi YokoyamaFumi KagawaMasahiro TakamuraKoki TakagakiKohei KambaraYuki MitsuyamaAyaka ShimizuGo OkadaYasumasa Okamoto","2023","http://link.springer.com/article/10.1186/s12889-023-14984-6","Article"
"A unified nonlinear stochastic time series analysis for climate science","Scientific Reports","","7","1","10.1038/srep44228","Woosok MoonJohn S. Wettlaufer","2017","http://link.springer.com/article/10.1038/srep44228","Article"
"Characterization of the eastern Suva Planina Mt. karst aquifer (SE Serbia) by time series analysis and stochastic modelling","Environmental Earth Sciences","","82","9","10.1007/s12665-023-10911-5","Branislav PetrovićVeljko MarinovićZoran Stevanović","2023","http://link.springer.com/article/10.1007/s12665-023-10911-5","Article"
"Robust singular spectrum analysis: comparison between classical and robust approaches for model fit and forecasting","Computational Statistics","","","","10.1007/s00180-022-01322-4","Mohammad KazemiPaulo Canas Rodrigues","2023","http://link.springer.com/article/10.1007/s00180-022-01322-4","Article"
"Life Expectancy, Air Pollution, and Socioeconomic Factors: A Multivariate Time-Series Analysis of Beijing City, China","Social Indicators Research","","162","3","10.1007/s11205-021-02872-8","Hao YangShaobin WangZhoupeng RenHaimeng LiuYun TongNa Wang","2022","http://link.springer.com/article/10.1007/s11205-021-02872-8","Article"
"Groundwater Level Prediction/Forecasting and Assessment of Uncertainty Using SGS and ARIMA Models: A Case Study in the Bauru Aquifer System (Brazil)","Natural Resources Research","","28","2","10.1007/s11053-018-9403-6","Eduardo Henrique de Moraes TakafujiMarcelo Monteiro da RochaRodrigo Lilla Manzione","2019","http://link.springer.com/article/10.1007/s11053-018-9403-6","Article"
"Beyond the beaten paths of forecasting call center arrivals: on the use of dynamic harmonic regression with predictor variables","Journal of Business Economics","","92","4","10.1007/s11573-021-01075-4","Theresa Maria RauschTobias AlbrechtDaniel Baier","2022","http://link.springer.com/article/10.1007/s11573-021-01075-4","Article"
"A novel displacement prediction method using gated recurrent unit model with time series analysis in the Erdaohe landslide","Natural Hazards","","105","1","10.1007/s11069-020-04337-6","Yong-gang ZhangJun TangZheng-ying HeJunkun TanChao Li","2021","http://link.springer.com/article/10.1007/s11069-020-04337-6","Article"
"A comprehensive literature review of the demand forecasting methods of emergency resources from the perspective of artificial intelligence","Natural Hazards","","97","1","10.1007/s11069-019-03626-z","Xiaoxin ZhuGuanghai ZhangBaiqing Sun","2019","http://link.springer.com/article/10.1007/s11069-019-03626-z","Article"
"Partially Hidden Markov Chain Multivariate Linear Autoregressive model: inference and forecasting—application to machine health prognostics","Machine Learning","","112","1","10.1007/s10994-022-06209-5","Fatoumata DamaChristine Sinoquet","2023","http://link.springer.com/article/10.1007/s10994-022-06209-5","Article"
"AR–ARCH Type Artificial Neural Network for Forecasting","Neural Processing Letters","","51","1","10.1007/s11063-019-10117-6","Burcin Seyda CorbaErol EgriogluAli Zafer Dalar","2020","http://link.springer.com/article/10.1007/s11063-019-10117-6","Article"
"Deep-learning model using hybrid adaptive trend estimated series for modelling and forecasting sales","Annals of Operations Research","","","","10.1007/s10479-022-04838-6","Md. Iftekharul Alam EfatPetr HajekMohammad Zoynul AbedinRahat Uddin AzadMd. Al JaberShuvra AdityaMohammad Kabir Hassan","2022","http://link.springer.com/article/10.1007/s10479-022-04838-6","Article"
"Stochastic Time Series Analysis for Energy System Based on Markov Chain Model","Mobile Networks and Applications","","22","3","10.1007/s11036-016-0796-3","Zhengshun RuanAihua LuoHong Yao","2017","http://link.springer.com/article/10.1007/s11036-016-0796-3","Article"
"Forecasting financial series using clustering methods and support vector regression","Artificial Intelligence Review","","52","2","10.1007/s10462-018-9663-x","Lucas F. S. VilelaRafael C. LemeCarlos A. M. PinheiroOtávio A. S. Carpinteiro","2019","http://link.springer.com/article/10.1007/s10462-018-9663-x","Article"
"Trend of HIV/AIDS for the last 26 years and predicting achievement of the 90–90-90 HIV prevention targets by 2020 in Ethiopia: a time series analysis","BMC Infectious Diseases","","18","1","10.1186/s12879-018-3214-6","Tadele GirumAbebaw WasieAbdulsemed Worku","2018","http://link.springer.com/article/10.1186/s12879-018-3214-6","Article"
"Multiscale Agricultural Commodities Forecasting Using Wavelet-SARIMA Process","Journal of Quantitative Economics","","21","1","10.1007/s40953-022-00329-4","Mamadou-Diéne DiopJules Sadefo Kamdem","2023","http://link.springer.com/article/10.1007/s40953-022-00329-4","Article"
"Review of ML and AutoML Solutions to Forecast Time-Series Data","Archives of Computational Methods in Engineering","","29","7","10.1007/s11831-022-09765-0","Ahmad AlsharefKaran AggarwalSoniaManoj KumarAshutosh Mishra","2022","http://link.springer.com/article/10.1007/s11831-022-09765-0","Article"
"Data analytics and throughput forecasting in port management systems against disruptions: a case study of Busan Port","Maritime Economics & Logistics","","25","1","10.1057/s41278-022-00247-5","Truong Ngoc CuongLe Ngoc Bao LongHwan-Seong KimSam-Sang You","2023","http://link.springer.com/article/10.1057/s41278-022-00247-5","Article"
"Quantification of nonverbal synchrony using linear time series analysis methods: Lack of convergent validity and evidence for facets of synchrony","Behavior Research Methods","","51","1","10.3758/s13428-018-1139-z","Désirée SchoenherrJane PaulickSusanne WorrackBernhard M. StraussJulian A. RubelBrian SchwartzAnne-Katharina DeisenhoferWolfgang LutzUlrich StangierUwe Altmann","2019","http://link.springer.com/article/10.3758/s13428-018-1139-z","Article"
"A human comfort prediction method for indoor personnel based on time-series analysis","Building Simulation","","16","7","10.1007/s12273-023-1010-8","Wenli ZhangGuoqiang CuiYufei WangChao ZhengQingyu Zhu","2023","http://link.springer.com/article/10.1007/s12273-023-1010-8","Article"
"Municipal Solid Waste Fractions and Their Source Separation: Forecasting for Large Geographical Area and Its Subregions","Waste and Biomass Valorization","","11","2","10.1007/s12649-019-00764-0","M. PavlasR. ŠomplákV. SmejkalováP. Stehlík","2020","http://link.springer.com/article/10.1007/s12649-019-00764-0","Article"
"Time series analysis of covariance based on linear transfer function models","Statistical Inference for Stochastic Processes","","22","1","10.1007/s11203-018-9182-z","M. AzimmohseniM. KhalafiM. Kordkatuli","2019","http://link.springer.com/article/10.1007/s11203-018-9182-z","Article"
"A hybrid modelling method for time series forecasting based on a linear regression model and deep learning","Applied Intelligence","","49","8","10.1007/s10489-019-01426-3","Wenquan XuHui PengXiaoyong ZengFeng ZhouXiaoying TianXiaoyan Peng","2019","http://link.springer.com/article/10.1007/s10489-019-01426-3","Article"
"A High-Order Neutrosophic-Neuro-Gradient Descent Algorithm-Based Expert System for Time Series Forecasting","International Journal of Fuzzy Systems","","21","7","10.1007/s40815-019-00690-2","Pritpal SinghYo-Ping Huang","2019","http://link.springer.com/article/10.1007/s40815-019-00690-2","Article"
"Impact of Ontario’s Harmonized Heat Warning and Information System on emergency department visits for heat-related illness in Ontario, Canada: a population-based time series analysis","Canadian Journal of Public Health","","113","5","10.17269/s41997-022-00665-1","Kristin K. ClemensAlexandra M. OuédraogoBritney LeJames VoogtMelissa MacDonaldRebecca StranbergJustin W. YanE. Scott KrayenhoffJason GillilandCheryl ForchukRafique Van UumSalimah Z. Shariff","2022","http://link.springer.com/article/10.17269/s41997-022-00665-1","Article"
"Exploration of geothermal activity using time series analysis of subsurface gases data from Bakreswar hot springs area, eastern India","Arabian Journal of Geosciences","","11","12","10.1007/s12517-018-3665-5","Hirok ChaudhuriChiranjit MajiKankana SealSupriya PalMrinal Kanti Mandal","2018","http://link.springer.com/article/10.1007/s12517-018-3665-5","Article"
"Time series analysis for C2C conversion rate","Electronic Commerce Research","","18","4","10.1007/s10660-017-9283-6","Ke GongYi PengYong WangMaozeng Xu","2018","http://link.springer.com/article/10.1007/s10660-017-9283-6","Article"
"Decentralization Effects in Ecological Fiscal Transfers: A Bayesian Structural Time Series Analysis for Portugal","Environmental and Resource Economics","","71","4","10.1007/s10640-017-0195-7","Nils DrosteClaudia BeckerIrene RingRui Santos","2018","http://link.springer.com/article/10.1007/s10640-017-0195-7","Article"
"An NLP-assisted Bayesian time-series analysis for prevalence of Twitter cyberbullying during the COVID-19 pandemic","Social Network Analysis and Mining","","13","1","10.1007/s13278-023-01053-4","Christopher PerezSayar Karmakar","2023","http://link.springer.com/article/10.1007/s13278-023-01053-4","Article"
"Applying time series modeling to assess the dynamics and forecast monthly reports of abuse, neglect and/or exploitation involving a vulnerable adult","Archives of Public Health","","78","1","10.1186/s13690-020-00431-0","Nelís Soto-RamírezJanet OdekuCourtney FoxeCynthia FlynnDiana Tester","2020","http://link.springer.com/article/10.1186/s13690-020-00431-0","Article"
"Interrupted time series analysis using autoregressive integrated moving average (ARIMA) models: a guide for evaluating large-scale health interventions","BMC Medical Research Methodology","","21","1","10.1186/s12874-021-01235-8","Andrea L. SchafferTimothy A. DobbinsSallie-Anne Pearson","2021","http://link.springer.com/article/10.1186/s12874-021-01235-8","Article"
"News events and their relationship with US vape sales: an interrupted time series analysis","BMC Public Health","","22","1","10.1186/s12889-022-12858-x","Kamila JanmohamedShinpei Nakamura-SakaiAbdul-Nasah SoaleLaura ForastiereFrederick L. AlticeNavin Kumar","2022","http://link.springer.com/article/10.1186/s12889-022-12858-x","Article"
"Selecting an optimal model for forecasting the volumes of railway goods transportation","Automation and Remote Control","","78","1","10.1134/S0005117917010064","K. V. RudakovV. V. StrizhovD. O. KashirinM. P. KuznetsovA. P. MotrenkoM. M. Stenina","2017","http://link.springer.com/article/10.1134/S0005117917010064","Article"
"Evaluating the tillage management direction effects on soil attributes by space series analysis (case study: a semiarid region in Iran)","Environmental Earth Sciences","","80","22","10.1007/s12665-021-10059-0","Saeedeh MarzvanHossein AsadiLuis C. TimmKlaus ReichardtNaser Davatgar","2021","http://link.springer.com/article/10.1007/s12665-021-10059-0","Article"
"Hierarchical optimisation model for waste management forecasting in EU","Optimization and Engineering","","23","4","10.1007/s11081-022-09735-2","V. SmejkalováR. ŠomplákJ. PluskalK. Rybová","2022","http://link.springer.com/article/10.1007/s11081-022-09735-2","Article"
"Monte Carlo simulations and forecasting of Radium-226, Thorium-232, and Potassium-40 radioactivity concentrations","Journal of Radioanalytical and Nuclear Chemistry","","324","1","10.1007/s10967-020-07059-y","Fatih KülahcıSerpil AközcanOsman Günay","2020","http://link.springer.com/article/10.1007/s10967-020-07059-y","Article"
"From data to interpretable models: machine learning for soil moisture forecasting","International Journal of Data Science and Analytics","","15","1","10.1007/s41060-022-00347-8","Aniruddha BasakKevin M. SchmidtOle Jakob Mengshoel","2023","http://link.springer.com/article/10.1007/s41060-022-00347-8","Article"
"Seasonal decomposition and combination model for short-term forecasting of subway ridership","International Journal of Machine Learning and Cybernetics","","13","1","10.1007/s13042-021-01377-7","Jiqiang TangAnkang ZuoJian LiuTianrui Li","2022","http://link.springer.com/article/10.1007/s13042-021-01377-7","Article"
"State-of-the-Art Development of Two-Waves Artificial Intelligence Modeling Techniques for River Streamflow Forecasting","Archives of Computational Methods in Engineering","","29","7","10.1007/s11831-022-09763-2","Woon Yang TanSai Hin LaiFang Yenn TeoAhmed El-Shafie","2022","http://link.springer.com/article/10.1007/s11831-022-09763-2","Article"
"Potato Price Forecasting with Holt-Winters and ARIMA Methods: A Case Study","American Journal of Potato Research","","97","4","10.1007/s12230-020-09788-y","Mehmet Arif Şahinli","2020","http://link.springer.com/article/10.1007/s12230-020-09788-y","Article"
"A Complex, Dynamic Systems Theory perspective on grit, grammar knowledge, and their relationship among high-school students: a longitudinal time series analysis study","Current Psychology","","","","10.1007/s12144-023-04918-1","Li Dong","2023","http://link.springer.com/article/10.1007/s12144-023-04918-1","Article"
"National COVID-19 lockdown and trends in help-seeking for violence against children in Zimbabwe: an interrupted time-series analysis","BMC Public Health","","22","1","10.1186/s12889-022-14425-w","Ilan Cerna-TuroffRobert NyakuwaEllen TurnerCharles Muchemwa NhereraTendai Nhenga-ChakarisaKaren Devries","2022","http://link.springer.com/article/10.1186/s12889-022-14425-w","Article"
"Effects of Chinese medical pricing reform on the structure of hospital revenue and healthcare expenditure in county hospital: an interrupted time series analysis","BMC Health Services Research","","21","1","10.1186/s12913-021-06388-2","Mengling LiuMingyuan JiaQian LinJiawei ZhuDong Wang","2021","http://link.springer.com/article/10.1186/s12913-021-06388-2","Article"
"Application of seasonal auto-regressive integrated moving average model in forecasting the incidence of hand-foot-mouth disease in Wuhan, China","Current Medical Science","","37","6","10.1007/s11596-017-1815-8","Ying Peng 彭 颖Bin Yu 余 滨Peng Wang 汪 鹏De-guang Kong 孔德广Bang-hua Chen 陈邦华Xiao-bing Yang 杨小兵","2017","http://link.springer.com/article/10.1007/s11596-017-1815-8","Article"
"Improving the accuracy of a flood forecasting model by means of machine learning and chaos theory","Neural Computing and Applications","","27","5","10.1007/s00521-015-1930-z","Gustavo FurquimGustavo PessinBruno S. FaiçalEduardo M. MendiondoJó Ueyama","2016","http://link.springer.com/article/10.1007/s00521-015-1930-z","Article"
"Prediction and analysis of COVID-19 daily new cases and cumulative cases: times series forecasting and machine learning models","BMC Infectious Diseases","","22","1","10.1186/s12879-022-07472-6","Yanding WangZehui YanDing WangMeitao YangZhiqiang LiXinran GongDi WuLingling ZhaiWenyi ZhangYong Wang","2022","http://link.springer.com/article/10.1186/s12879-022-07472-6","Article"
"Analysis of energy intensity trend as a tool for long-term forecasting of energy consumption","Energy Efficiency","","11","8","10.1007/s12053-018-9656-2","Leontiy EderIrina Provornaya","2018","http://link.springer.com/article/10.1007/s12053-018-9656-2","Article"
"A brief review of modeling approaches based on fuzzy time series","International Journal of Machine Learning and Cybernetics","","8","2","10.1007/s13042-015-0332-y","Pritpal Singh","2017","http://link.springer.com/article/10.1007/s13042-015-0332-y","Article"
"Stock Market Forecasting Using Computational Intelligence: A Survey","Archives of Computational Methods in Engineering","","28","3","10.1007/s11831-020-09413-5","Gourav KumarSanjeev JainUday Pratap Singh","2021","http://link.springer.com/article/10.1007/s11831-020-09413-5","Article"
"Two Filtering Methods of Forecasting Linear and Nonlinear Dynamics of Intensive Longitudinal Data","Psychometrika","","87","2","10.1007/s11336-021-09827-5","Michael D. HunterHaya FatimahMarina A. Bornovalova","2022","http://link.springer.com/article/10.1007/s11336-021-09827-5","Article"
"A time series analysis of causality between tourist arrivals and climatic effects for nature-based tourism destinations: evidence from Gilgit-Baltistan, Pakistan","Environment, Development and Sustainability","","23","4","10.1007/s10668-020-00803-0","Saranjam Baig PhDAmjad Ali KhanAftab Ahmed Khan","2021","http://link.springer.com/article/10.1007/s10668-020-00803-0","Article"
"The least-square Fourier-series model-based evaluation and forecasting of monthly average water-levels","Environmental Earth Sciences","","77","9","10.1007/s12665-018-7505-4","Zong-chang Yang","2018","http://link.springer.com/article/10.1007/s12665-018-7505-4","Article"
"Forecasting of residential unit’s heat demands: a comparison of machine learning techniques in a real-world case study","Energy Systems","","","","10.1007/s12667-023-00579-y","Neele KemperMichael HeiderDirk PietruschkaJörg Hähner","2023","http://link.springer.com/article/10.1007/s12667-023-00579-y","Article"
"Forecasting emergency department admissions","Journal of Intelligent Information Systems","","56","3","10.1007/s10844-021-00638-9","Carlos Narciso RochaFátima Rodrigues","2021","http://link.springer.com/article/10.1007/s10844-021-00638-9","Article"
"Medical service demand forecasting using a hybrid model based on ARIMA and self-adaptive filtering method","BMC Medical Informatics and Decision Making","","20","1","10.1186/s12911-020-01256-1","Yihuai HuangChao XuMengzhong JiWei XiangDa He","2020","http://link.springer.com/article/10.1186/s12911-020-01256-1","Article"
"A new method for traffic forecasting in urban wireless communication network","EURASIP Journal on Wireless Communications and Networking","","2019","1","10.1186/s13638-019-1392-6","Kaisa ZhangGang ChuaiWeidong GaoXuewen LiuSaidiwaerdi MaimaitiZhiwei Si","2019","http://link.springer.com/article/10.1186/s13638-019-1392-6","Article"
"The short-term forecasting of evaporation duct height (EDH) based on ARIMA model","Multimedia Tools and Applications","","76","23","10.1007/s11042-016-4143-2","Shaobo YangSihui LiuXingfei LiYing ZhongXin HeChao Wu","2017","http://link.springer.com/article/10.1007/s11042-016-4143-2","Article"
"Rainfall forecasting in upper Indus basin using various artificial intelligence techniques","Stochastic Environmental Research and Risk Assessment","","35","11","10.1007/s00477-021-02013-0","Muhammad HammadMuhammad ShoaibHamza SalahudinMuhammad Azhar Inam BaigMudasser Muneer KhanMuhammad Kaleem Ullah","2021","http://link.springer.com/article/10.1007/s00477-021-02013-0","Article"
"Modeling and forecasting rainfall patterns of southwest monsoons in North–East India as a SARIMA process","Meteorology and Atmospheric Physics","","130","1","10.1007/s00703-017-0504-2","K. V. Narasimha MurthyR. SaravanaK. Vijaya Kumar","2018","http://link.springer.com/article/10.1007/s00703-017-0504-2","Article"
"A hybrid decomposition-boosting model for short-term multi-step solar radiation forecasting with NARX neural network","Journal of Central South University","","28","2","10.1007/s11771-021-4618-9","Jia-hao Huang 黄家豪Hui Liu 刘辉","2021","http://link.springer.com/article/10.1007/s11771-021-4618-9","Article"
"Water demand forecasting by trend and harmonic analysis","Archives of Civil and Mechanical Engineering","","18","1","10.1016/j.acme.2017.05.006","Edward KozłowskiBeata KowalskaDariusz KowalskiDariusz Mazurkiewicz","2018","http://link.springer.com/article/10.1016/j.acme.2017.05.006","Article"
"Does a relationship between fertility and labor participation of women really exist? Perspectives from time series analysis","International Journal of Economic Policy Studies","","14","1","10.1007/s42495-020-00033-2","Hisakazu Kato","2020","http://link.springer.com/article/10.1007/s42495-020-00033-2","Article"
"Impact of the Ebola virus disease outbreak (2014–2016) on tuberculosis surveillance activities by Guinea’s National Tuberculosis Control Program: a time series analysis","BMC Public Health","","20","1","10.1186/s12889-020-09230-2","Aboubacar Sidiki MagassoubaBoubacar Djelo DialloLansana Mady CamaraKadiatou SowSouleymane CamaraBoubacar BahAlpha Oumar BarryThierno Hassane DialloAboubacar CamaraAdama Marie BangouraOumou Younoussa Sow","2020","http://link.springer.com/article/10.1186/s12889-020-09230-2","Article"
"Municipal solid waste generation in China: influencing factor analysis and multi-model forecasting","Journal of Material Cycles and Waste Management","","20","3","10.1007/s10163-018-0743-4","Leaksmy ChhayMd Amjad Hossain ReyadRathny SuyMd Rafiqul IslamMd Manik Mian","2018","http://link.springer.com/article/10.1007/s10163-018-0743-4","Article"
"CDA-LSTM: an evolutionary convolution-based dual-attention LSTM for univariate time series prediction","Neural Computing and Applications","","33","23","10.1007/s00521-021-06212-2","Xiaoquan ChuHaibin JinYue LiJianying FengWeisong Mu","2021","http://link.springer.com/article/10.1007/s00521-021-06212-2","Article"
"Chaotic feature analysis and forecasting of Liujiang River runoff","Soft Computing","","20","7","10.1007/s00500-015-1661-1","Hong DingWenyong Dong","2016","http://link.springer.com/article/10.1007/s00500-015-1661-1","Article"
"Forecasting ward-level bed requirements to aid pandemic resource planning: Lessons learned and future directions","Health Care Management Science","","","","10.1007/s10729-023-09639-2","Michael R. JohnsonHiten NaikWei Siang ChanJesse GreinerMatt MichaleskiDong LiuBruno SilvestreIan P. McCarthy","2023","http://link.springer.com/article/10.1007/s10729-023-09639-2","Article"
"Evolving nearest neighbor time series forecasters","Soft Computing","","23","3","10.1007/s00500-017-2822-1","Juan J. FloresJosé R. Cedeño GonzálezRodrigo Lopez FariasFelix Calderon","2019","http://link.springer.com/article/10.1007/s00500-017-2822-1","Article"
"Joint prediction of time series data in inventory management","Knowledge and Information Systems","","61","2","10.1007/s10115-018-1302-y","Qifeng ZhouRuyuan HanTao LiBin Xia","2019","http://link.springer.com/article/10.1007/s10115-018-1302-y","Article"
"An Attention-Based Spatio-temporal Model for Methane Concentration Forecasting in Coal Mine","Neural Processing Letters","","55","4","10.1007/s11063-022-11065-4","Yifei GaoXiaohang ZhangZhengren LiYu Du","2023","http://link.springer.com/article/10.1007/s11063-022-11065-4","Article"
"Estimation of freight demand at Mumbai Port using regression and time series models","KSCE Journal of Civil Engineering","","20","5","10.1007/s12205-015-0386-0","Gopal R. PatilPrasanta K. Sahu","2016","http://link.springer.com/article/10.1007/s12205-015-0386-0","Article"
"Hospital daily outpatient visits forecasting using a combinatorial model based on ARIMA and SES models","BMC Health Services Research","","17","1","10.1186/s12913-017-2407-9","Li LuoLe LuoXinli ZhangXiaoli He","2017","http://link.springer.com/article/10.1186/s12913-017-2407-9","Article"
"Designing a demand forecasting model for human resources cloud data centres using fuzzy theory","Wireless Networks","","","","10.1007/s11276-023-03423-4","Xiao Ming WuZhan Xin GuoXiao Mei ChuYoo Seungeok","2023","http://link.springer.com/article/10.1007/s11276-023-03423-4","Article"
"Survey of Electricity Demand Forecasting and Demand Side Management Techniques in Different Sectors to Identify Scope for Improvement","Smart Grids and Sustainable Energy","","8","2","10.1007/s40866-023-00168-z","Megha SharmaNamita MittalAnukram MishraArun Gupta","2023","http://link.springer.com/article/10.1007/s40866-023-00168-z","Article"
"Two-Factor Fuzzy Time Series for Equipment Data Prediction","Journal of Shanghai Jiaotong University (Science)","","23","5","10.1007/s12204-018-1983-0","Shanhong He 何善红Baizhong Rong 荣百中Meng Qu 瞿勐Shuangfei Wang 王双飞Huanhuan Li 李欢欢Fengyang Wang 王冯阳Jin Wu 吴进","2018","http://link.springer.com/article/10.1007/s12204-018-1983-0","Article"
"Container flow forecasting through neural networks based on metaheuristics","Operational Research","","21","2","10.1007/s12351-019-00477-1","M. MilenkovićN. MilosavljevicN. BojovićS. Val","2021","http://link.springer.com/article/10.1007/s12351-019-00477-1","Article"
"The impact of alcohol taxation increase on all-cause mortality inequalities in Lithuania: an interrupted time series analysis","BMC Medicine","","21","1","10.1186/s12916-022-02721-6","Jakob MantheyDomantas JasilionisHuan JiangOlga MeščeriakovaJanina PetkevičienėRičardas RadišauskasMindaugas ŠtelemėkasJürgen Rehm","2023","http://link.springer.com/article/10.1186/s12916-022-02721-6","Article"
"The impact of policy interventions to promote the uptake of biosimilar medicines in Belgium: a nationwide interrupted time series analysis","Health Research Policy and Systems","","21","1","10.1186/s12961-023-01015-4","Yannick VandenplasSteven SimoensPhilippe Van WilderArnold G. VultoIsabelle Huys","2023","http://link.springer.com/article/10.1186/s12961-023-01015-4","Article"
"Prospective correlational time-series analysis of the influence of weather and air pollution on joint pain in chronic rheumatic diseases","Clinical Rheumatology","","40","10","10.1007/s10067-021-05735-2","Nelly ZiadéMaria BouzamelMyriam Mrad-NakhléGhada Abi KaramIhsane HmamouchiRedouane AbouqalWehbeh Farah","2021","http://link.springer.com/article/10.1007/s10067-021-05735-2","Article"
"Investigating the causality of changes in the landscape pattern of Lake Urmia basin, Iran using remote sensing and time series analysis","Environmental Monitoring and Assessment","","188","8","10.1007/s10661-016-5456-3","Majid Ramezani MehrianRaul Ponce HernandezAhmad Reza YavariShahrzad FaryadiEsmaeil Salehi","2016","http://link.springer.com/article/10.1007/s10661-016-5456-3","Article"
"Impact of China’s zero mark-up drug policy on drug cost of NCDs’ outpatients: an interrupted time series analysis","BMC Health Services Research","","21","1","10.1186/s12913-021-06414-3","Jielin DuJiajia XieYan QianMingyue WuWenjing HuangJin YinXin PengDan Deng","2021","http://link.springer.com/article/10.1186/s12913-021-06414-3","Article"
"Changes in the number of cancer diagnosis practices due to the COVID-19 pandemic: interrupted time-series analysis using the National Database of Japan","Journal of Cancer Research and Clinical Oncology","","149","9","10.1007/s00432-022-04557-2","Misuzu FujitaKengo NagashimaKiminori SuzukiTokuzo KasaiHideyuki HashimotoKazuya YamaguchiYoshihiro OnouchiDaisuke SatoTakehiko FujisawaAkira Hata","2023","http://link.springer.com/article/10.1007/s00432-022-04557-2","Article"
"A vector autoregressive methodology for short-term weather forecasting: tests for Lebanon","SN Applied Sciences","","2","9","10.1007/s42452-020-03292-y","Wissam AbdallahNassib AbdallahJean-Marie MarionMohamad OueidatPierre Chauvet","2020","http://link.springer.com/article/10.1007/s42452-020-03292-y","Article"
"Forecasting daily passenger traffic volumes in the Moscow metro","Physics of Particles and Nuclei Letters","","15","1","10.1134/S1547477118010089","V. V. IvanovE. S. Osetrov","2018","http://link.springer.com/article/10.1134/S1547477118010089","Article"
"Integration of RNN with GARCH refined by whale optimization algorithm for yield forecasting: a hybrid machine learning approach","Journal of Ambient Intelligence and Humanized Computing","","","","10.1007/s12652-020-01922-2","P. MuraliR. RevathyS. BalamuraliA. S. Tayade","2020","http://link.springer.com/article/10.1007/s12652-020-01922-2","Article"
"Interpretable multiple data streams clustering with clipped streams representation for the improvement of electricity consumption forecasting","Data Mining and Knowledge Discovery","","33","2","10.1007/s10618-018-0598-2","Peter LaurinecMária Lucká","2019","http://link.springer.com/article/10.1007/s10618-018-0598-2","Article"
"Deep particulate matter forecasting model using correntropy-induced loss","Journal of Mechanical Science and Technology","","35","9","10.1007/s12206-021-0817-4","Jongsu KimChanghoon Lee","2021","http://link.springer.com/article/10.1007/s12206-021-0817-4","Article"
"Short-Term Residential Load Forecasting Using 2-Step SARIMAX","Journal of Electrical Engineering & Technology","","17","2","10.1007/s42835-021-00917-z","Taegon KimMinseok JangHyun Cheol JeongSung-Kwan Joo","2022","http://link.springer.com/article/10.1007/s42835-021-00917-z","Article"
"A Deep Learning-Based Method for Forecasting Gold Price with Respect to Pandemics","SN Computer Science","","2","4","10.1007/s42979-021-00724-3","Mahtab Mohtasham KhaniSahand VahidniaAlireza Abbasi","2021","http://link.springer.com/article/10.1007/s42979-021-00724-3","Article"
"Hybrid feedforward ANN with NLS-based regression curve fitting for US air traffic forecasting","Neural Computing and Applications","","32","14","10.1007/s00521-019-04539-5","Foued SaâdaouiHayet SaadaouiHana Rabbouch","2020","http://link.springer.com/article/10.1007/s00521-019-04539-5","Article"
"Time Series, Hidden Variables and Spatio-Temporal Ordinality Networks","Advances in Applied Clifford Algebras","","30","3","10.1007/s00006-020-01061-z","Sudharsan ThiruvengadamJei Shian TanKarol Miller","2020","http://link.springer.com/article/10.1007/s00006-020-01061-z","Article"
"A hybrid model of dynamic time wrapping and hidden Markov model for forecasting and trading in crude oil market","Soft Computing","","24","9","10.1007/s00500-019-04304-9","Shangkun DengYoutao XiangBoyang NanHongyu TianZhe Sun","2020","http://link.springer.com/article/10.1007/s00500-019-04304-9","Article"
"Modeling of water consumption in Saudi Arabia using classical and modern time series methods","Arabian Journal of Geosciences","","14","6","10.1007/s12517-021-06826-9","Ibrahim M. AlmanjahieZouaoui Chikr ElmezouarMirza Barjees BaigIshfaq Ahmad","2021","http://link.springer.com/article/10.1007/s12517-021-06826-9","Article"
"Performance Enhancement Model for Rainfall Forecasting Utilizing Integrated Wavelet-Convolutional Neural Network","Water Resources Management","","34","8","10.1007/s11269-020-02554-z","Kai Lun ChongSai Hin LaiYu YaoAli Najah AhmedWan Zurina Wan JaafarAhmed El-Shafie","2020","http://link.springer.com/article/10.1007/s11269-020-02554-z","Article"
"Koopman Operator Framework for Time Series Modeling and Analysis","Journal of Nonlinear Science","","30","5","10.1007/s00332-017-9441-y","Amit Surana","2020","http://link.springer.com/article/10.1007/s00332-017-9441-y","Article"
